Bug ID,Date reported,App version,Role,Section,Route,Severity,Status,Title,Steps to reproduce,Expected,Actual,Screenshot link,Assignee,Notes
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Admin,Dashboard,/dashboard,,Open,,,,,,,
,,,Admin,Dashboard,/dashboard,,Open,,,,,,,
,,,Admin,Dashboard,/dashboard,,Open,,,,,,,
,,,Admin,Dashboard,/dashboard,,Open,,,,,,,
,,,Admin,Dashboard,/dashboard,,Open,,,,,,,
,,,Admin,Customers,/customers,,Open,,,,,,,
,,,Admin,Customers,/customers,,Open,,,,,,,
,,,Admin,Customers,/customers,,Open,,,,,,,
,,,Admin,Customers,/customers,,Open,,,,,,,
,,,Admin,Customers,/customers,,Open,,,,,,,
,,,Admin; Agent,Chats,/chats,,Open,,,,,,,
,,,Admin; Agent,Chats,/chats,,Open,,,,,,,
,,,Admin; Agent,Chats,/chats,,Open,,,,,,,
,,,Admin; Agent,Chats,/chats,,Open,,,,,,,
,,,Admin; Agent,Chats,/chats,,Open,,,,,,,
,,,Admin,Gift Card Chats,/chats,,Open,,,,,,,
,,,Admin,Gift Card Chats,/chats,,Open,,,,,,,
,,,Admin,Gift Card Chats,/chats,,Open,,,,,,,
,,,Admin,Gift Card Chats,/chats,,Open,,,,,,,
,,,Admin,Gift Card Chats,/chats,,Open,,,,,,,
,,,Admin,Gift Card Buy Txns,/transactions/gift-card-buy,,Open,,,,,,,
,,,Admin,Gift Card Buy Txns,/transactions/gift-card-buy,,Open,,,,,,,
,,,Admin,Gift Card Buy Txns,/transactions/gift-card-buy,,Open,,,,,,,
,,,Admin,Gift Card Buy Txns,/transactions/gift-card-buy,,Open,,,,,,,
,,,Admin,Gift Card Buy Txns,/transactions/gift-card-buy,,Open,,,,,,,
,,,Admin,Crypto Txns,/transactions/crypto,,Open,,,,,,,
,,,Admin,Crypto Txns,/transactions/crypto,,Open,,,,,,,
,,,Admin,Crypto Txns,/transactions/crypto,,Open,,,,,,,
,,,Admin,Crypto Txns,/transactions/crypto,,Open,,,,,,,
,,,Admin,Crypto Txns,/transactions/crypto,,Open,,,,,,,
,,,Admin,Bill Payments,/transactions/bill-payments,,Open,,,,,,,
,,,Admin,Bill Payments,/transactions/bill-payments,,Open,,,,,,,
,,,Admin,Bill Payments,/transactions/bill-payments,,Open,,,,,,,
,,,Admin,Bill Payments,/transactions/bill-payments,,Open,,,,,,,
,,,Admin,Bill Payments,/transactions/bill-payments,,Open,,,,,,,
,,,Admin,Naira Txns,/transactions/naira,,Open,,,,,,,
,,,Admin,Naira Txns,/transactions/naira,,Open,,,,,,,
,,,Admin,Naira Txns,/transactions/naira,,Open,,,,,,,
,,,Admin,Naira Txns,/transactions/naira,,Open,,,,,,,
,,,Admin,Naira Txns,/transactions/naira,,Open,,,,,,,
,,,Admin; Agent,Transactions,/transactions,,Open,,,,,,,
,,,Admin; Agent,Transactions,/transactions,,Open,,,,,,,
,,,Admin; Agent,Transactions,/transactions,,Open,,,,,,,
,,,Admin; Agent,Transactions,/transactions,,Open,,,,,,,
